rows,cols,countlist,centerlist
A,v1,0,False
A,v2,93,False
A,v3,201,False
A,v4,111,False
A,v5,51,False
B,v1,66,False
B,v2,147,False
B,v3,60,False
B,v4,24,False
B,v5,75,False
C,v1,357,False
C,v2,123,False
C,v3,24,True
C,v4,36,False
C,v5,381,False
D,v1,189,False
D,v2,168,False
D,v3,186,False
D,v4,57,False
D,v5,150,False
E,v1,36,False
E,v2,27,False
E,v3,75,False
E,v4,186,False
E,v5,66,False
