rows,cols,countlist,centerlist
A,v1,0,False
A,v2,16,False
A,v3,43,False
A,v4,0,False
A,v5,0,False
B,v1,0,False
B,v2,48,False
B,v3,13,False
B,v4,0,False
B,v5,0,False
C,v1,6,False
C,v2,14,False
C,v3,273,True
C,v4,4,False
C,v5,0,False
D,v1,3,False
D,v2,78,False
D,v3,254,False
D,v4,0,False
D,v5,0,False
E,v1,0,False
E,v2,52,False
E,v3,217,False
E,v4,0,False
E,v5,0,False
