rows,cols,countlist,centerlist
A,v1,413,False
A,v2,683,False
A,v3,288,False
A,v4,180,False
A,v5,135,False
B,v1,90,False
B,v2,38,False
B,v3,148,False
B,v4,246,False
B,v5,100,False
C,v1,71,False
C,v2,10,False
C,v3,47,True
C,v4,41,False
C,v5,172,False
D,v1,52,False
D,v2,74,False
D,v3,67,False
D,v4,33,False
D,v5,161,False
E,v1,10,False
E,v2,36,False
E,v3,32,False
E,v4,66,False
E,v5,219,False
